poem,theme
"Of death the barber the barber talked to me  cutting my life with sleep to trim my hair—  It's just a moment he said, we die every night—  And of  the newest ways to grow hair on  bald death— I told him of the quartz lamp  and of old men with third sets of teeth to the cue  of an old man who said at the door—",Love
"I sit and sew—a useless task it seems, My hands grown tired, my head weighed down with dreams— The panoply of war, the martial tred of men, Grim-faced, stern-eyed, gazing beyond the ken Of lesser souls, whose eyes have not seen Death Nor learned to hold their lives but as a breath— But—I must sit and sew.  I sit",Love
"It was easy enough to bend them to my wish, it was easy enough to alter them with a touch, but you adrift on the great sea, how shall I call you back?  Cedar and white ash, rock-cedar and sand plants and tamarisk red cedar and white cedar and black cedar from the inmost forest, fragrance upon fragrance and all of my sea-magic is for nought.  It was easy enough— a thought called them from the sharp edges of the earth; they prayed for a touch, they cried for the sight of my face, they entreated me till in pity I turned each to his own self.  Panther and panther, then a black leopard follows close— black panther and red and a great hound, a god-like beast, cut the sand in a clear ring and shut me from the earth, and cover the sea-sound with their throats, and the sea-roar with their own barks and bellowing and snarls, and the sea-stars and the swirl of the sand, and the rock-tamarisk and the wind resonance— but not your voice.  It is easy enough to call men from the edges of the earth. It is easy enough to summon them to my feet with a thought— it is beautiful to see the tall panther and the sleek deer-hounds circle in the dark.  It is easy enough to make cedar and white ash fumes into palaces and to cover the sea-caves with ivory and onyx.  But I would give up rock-fringes of coral and the inmost chamber of my island palace and my own gifts and the whole region of my power and magic for your glance.  I saw the first pear as it fell— the honey-seeking, golden-banded, the yellow swarm was not more fleet than I,  (spare us from loveliness) and I fell prostrate crying: you have flayed us with your blossoms,  spare us the beautyWhirl up, sea— Whirl your pointed pines.  Splash your great pines  On our rocks.  Hurl your green over us— Cover us with your pools of fir.",Love
"Of the dark past A child is born; With joy and grief My heart is torn.  Calm in his cradle The living lies. May love and mercy Unclose his eyes!  Young life is breathed On the glass; The world that was not Comes to pass.  A child is sleeping: An old man gone. O, father forsaken, Forgive your son! ",Love
"Although she feeds me bread of bitterness, And sinks into my throat her tiger's tooth, Stealing my breath of life, I will confess I love this cultured hell that tests my youth! Her vigor flows like tides into my blood, Giving me strength erect against her hate. Her bigness sweeps my being like a flood. Yet as a",Love
"Gazing upon him now, severe and dead, It seemed a curious thing that she had lain Beside him many a night in that cold bed, And that had been which would not be again. From his desirous body the great heat Was gone at last, it seemed, and the taut nerves Loosened forever. Formally the sheet Set forth for her to-day those heavy curves And lengths familiar as the bedroom door. She was as one that enters, sly, and proud, To where her husband speaks before a crowd, And sees a man she never saw before -- The man who eats his victuals at her side, Small, and absurd, and hers: for once, not hers, unclassified. ""Curse thee, Life, I will live with thee no more! Thou hast mocked me, starved me, beat my body sore! And all for a pledge that was not pledged by me, I have kissed thy crust and eaten sparingly That I might eat again, and met thy sneers With deprecations, and thy blows with tears,— Aye, from thy glutted lash,“Inert Perfection, let me chip your shell. You cannot break it through with that soft beak. What if you broke it never, and it befell You should not issue thence, should never speak?”  Perfection in the egg, a fluid thing, Grows solid in due course, and there exists; Knowing no urge to struggle forth and sing;",Love
"I am not yours, not lost in you, Not lost, although I long to be Lost as a candle lit at noon, Lost as a snowflake in the sea.  You love me, and I find you still A spirit beautiful and bright, Yet I am I, who long to be Lost as a light is lost in light.  Oh plunge me deep in love—put out My senses, leave me deafWhat can I give you, my lord, my lover, You who have given the world to me, Showed me the light and the joy that cover The wild sweet earth and restless sea?  All that I have are gifts of your giving— If I gave them again, you would find them old, And your soul would weary of always living Before the mirror my",Love
"And then went down to the ship, Set keel to breakers, forth on the godly sea, and We set up mast and sail on that swart ship, Bore sheep aboard her, and our bodies also  Heavy with weeping, so winds from sternward Bore us out onward with bellying canvas, Circe's this craft, the trim-coifed goddess. Then sat we",Love
"  We walked through garden closes Languidly, with dragging Sunday feet, And passed down a long pleached alley, And could remember, as one remembers in a fairy tale, Ladies in brocade, and lovers, and musk. We surprised tall dahlias That shrugged and turned scarlet faces to the breeze.Out of the rolling ocean, the crowd, came a drop gently to me, Whispering   Now we have met, we have look",Love
"They came to tell your faults to me, They named them over one by one; I laughed aloud when they were done, I knew them all so well before,— Oh, they were blind, too blind to see Your faults had made me love you more.What can I give you, my lord, my lover, You who have given the world to me, Showed me the light and the joy that cover The wild sweet earth and restless sea?  All that I have are gifts of your giving— If I gave them again, you would find them old, And your soul would weary of always living Before the mirror my",Love
"Since my Beloved chambered me  To beat within her breast, And took my soul to light a shrine  Her soul had decked and dressed, And caught my songs about her throat,—  Dissected, known, confessed, I dwell within her charity  A half-unwelcome guest.And here face down beneath the sun And here upon earth's noonward height To feel the always coming on The always rising of the night:  To feel creep up the curving east The earthy chill of dusk and slow Upon those under lands the vast And ever climbing shadow grow  And strange at Ecbatan the trees Take leaf byA poem should be palpable and mute As a globed fruit,  Dumb As old medallions to the thumb,  Silent as the sleeve-worn stone Of casement ledges where the moss has grown—  A poem should be wordless As the flight of birds.   *  A poem should be motionless in time  As the moon climbs,  Leaving, as",Love
"So you are lost to me! Ah you, you ear of corn straight lying, What food is this for the darkly flying Fowls of the Afterwards!  White bread afloat on the waters, Cast out by the hand that scatters Food untowards,  Will you come back when the tide turns? After many days? My heart yearns To know.  Will you return after many days To say your say as a traveller says, More marvel than woe?  Drift then, for the sightless birds And the fish in shadow-waved herds To approach you.  Drift then, bread cast out; Drift, lest I fall in doubt, And reproach you.  For you are lost to me! The town has opened to the sun. Like a flat red lily with a million petals She unfolds, she comes undone.  A sharp sky brushes upon The myriad glittering chimney-tips As she gently exhales to the sun.  Hurrying creatures run Down the labyrinth of the sinister flower. What is it they shun?  A dark bird falls from",Love
"When you are old and grey and full of sleep, And nodding by the fire, take down this book, And slowly read, and dream of the soft look Your eyes had once, and of their shadows deep;  How many loved your moments of glad grace, And loved your beauty with love false or true, But one man loved the pilgrim soul in you, And loved the sorrows of your changing face;  And bending down beside the glowing bars, Murmur, a little sadly, how Love fled And paced upon the mountains overhead And hid his face amid a crowd of stars.Had I the heavens' embroidered cloths,  Enwrought with golden and silver light,  The blue and the dim and the dark cloths  Of night and light and the half light,  I would spread the cloths under your feet: But I, being poor, have only my dreams;  I have spread my dreams under your feet;  Tread softlyI know that I shall meet my fate  Somewhere among the clouds above;  Those that I fight I do not hate  Those that I guard I do not love;  My country is Kiltartan Cross, My countrymen Kiltartan’s poor,  No likely end could bring them loss  Or leave them happier than before.  Nor law, nor duty badeWine comes in at the mouth  And love comes in at the eye;  That’s all we shall know for truth  Before we grow old and die.  I lift the glass to my mouth, I look at you, and I sigh.",Love
"Now, dear, it isn’t the bold things, Great deeds of valour and might,  But it is the doing of old things, Small acts that are just and right; And doing them over and over again, no matter what others say;  Dear, those are the things that count.  And, dear, it isn’t the new ways Where the wonder-seekers crowd That lead us into the land of content, or help us to find our own. But it is keeping to true ways, Though the music is not so loud,   Dear, these are the things that count.  My dear, it isn’t the loud part Of creeds that are pleasing to God,  But it is the beautiful proud part Of walking with feet faith-shod;   Dear, these are the things that count. Youth's the season made for joys,  Love is then our duty;  She alone who that employs,  Well deserves her beauty.  Let's be gay,  While we may,  Beauty's a flower despis'd in decay.  Let us drink and sport to-day,  Ours is not tomorrow.  Love with youth flies swift away,  Age is nought butWhen I consider every thing that grows Holds in perfection but a little moment. That this huge stage presenteth nought but shows Whereon the stars in secret influence comment. When I perceive that men as plants increase, Cheerèd and checked even by the self-same sky, Vaunt in their youthful",Love
"My heart is what it was before,  A house where people come and go; But it is winter with your love,  The sashes are beset with snow.  I light the lamp and lay the cloth,  I blow the coals to blaze again; But it is winter with your love,  The frost is thick upon the pane.  I know a winter when it comesDeath devours all lovely things;  Lesbia with her sparrow Shares the darkness,—presently  Every bed is narrow  Unremembered as old rain  Dries the sheer libation, And the little petulant hand  Is an annotation.  After all, my erstwhile dear,  My no longer cherished, Need we say it was not love,  Now that",Love
"I have taken scales from off The cheeks of the moon. I have made fins from bluejays’ wings, I have made eyes from damsons in the shadow. I have taken flushes from the peachlips in the sun. From all these I have made a fish of heaven for you, Set it swimming on a young October sky. I sit on the bank of the stream and watch The grasses in amazement As they turn to ashy gold. Are the fishes from the rainbow Still beautiful to you, For whom they are made, For whom I have set them, Swimming? I am glad daylong for the gift of song,  For time and change and sorrow; For the sunset wings and the world-end things  Which hang on the edge of to-morrow. I am glad for my heart whose gates apart  Are the entrance-place of wonders, Where dreams come in from the rush and dinI caught a tremendous fish and held him beside the boat half out of water, with my hook fast in a corner of his mouth. He didn't fight. He hadn't fought at all. He hung a grunting weight, battered and venerable and homely. Here and there his brown skin hung in strips like ancient wallpaper,",Love
"We waited for the sun To break its cloudy prison (For day was not yet done, And night still unbegun) Leaning by the dial.  After many a trial— We all silent there— It burst as new-arisen, Throwing a shade to where Time travelled at that minute.  Little saw we in it, But this much I know, Of lookers on that shade",Love
"I have been so great a lover: filled my days So proudly with the splendour of Love's praise, The pain, the calm, and the astonishment, Desire illimitable, and still content, And all dear names men use, to cheat despair, For the perplexed and viewless streams that bear Our hearts at random down the dark of life. Now, ere the unthinking silence on that strife Steals down, I would cheat drowsy Death so far, My night shall be remembered for a star That outshone all the suns of all men's days. Shall I not crown them with immortal praise Whom I have loved, who have given me, dared with me High secrets, and in darkness knelt to see The inenarrable godhead of delight? Love is a flame:—we have beaconed the world's night. A city:—and we have built it, these and I. An emperor:—we have taught the world to die. So, for their sakes I loved, ere I go hence, And the high cause of Love's magnificence, And to keep loyalties young, I'll write those names Golden for ever, eagles, crying flames, And set them as a banner, that men may know, To dare the generations, burn, and blow Out on the wind of Time, shining and streaming . . . .  These I have loved: White plates and cups, clean-gleaming, Ringed with blue lines; and feathery, faery dust; Wet roofs, beneath the lamp-light; the strong crust Of friendly bread; and many-tasting food; Rainbows; and the blue bitter smoke of wood; And radiant raindrops couching in cool flowers; And flowers themselves, that sway through sunny hours, Dreaming of moths that drink them under the moon; Then, the cool kindliness of sheets, that soon Smooth away trouble; and the rough male kiss Of blankets; grainy wood; live hair that is Shining and free; blue-massing clouds; the keen Unpassioned beauty of a great machine; The benison of hot water; furs to touch; The good smell of old clothes; and other such— The comfortable smell of friendly fingers, Hair's fragrance, and the musty reek that lingers About dead leaves and last year's ferns. . . .  Dear names, And thousand other throng to me! Royal flames; Sweet water's dimpling laugh from tap or spring; Holes in the ground; and voices that do sing; Voices in laughter, too; and body's pain, Soon turned to peace; and the deep-panting train; Firm sands; the little dulling edge of foam That browns and dwindles as the wave goes home; And washen stones, gay for an hour; the cold Graveness of iron; moist black earthen mould; Sleep; and high places; footprints in the dew; And oaks; and brown horse-chestnuts, glossy-new; And new-peeled sticks; and shining pools on grass;— All these have been my loves. And these shall pass, Whatever passes not, in the great hour, Nor all my passion, all my prayers, have power To hold them with me through the gate of Death. They'll play deserter, turn with the traitor breath, Break the high bond we made, and sell Love's trust And sacramented covenant to the dust. ——Oh, never a doubt but, somewhere, I shall wake, And give what's left of love again, and make New friends, now strangers. . . .   But the best I've known Stays here, and changes, breaks, grows old, is blown About the winds of the world, and fades from brains Of living men, and dies.  Nothing remains.  O dear my loves, O faithless, once again This one last gift I give: that after men Shall know, and later lovers, far-removed, Praise you, 'All these were lovely'; say, 'He loved.'If I should die, think only this of me:  That there's some corner of a foreign field That is for ever England. There shall be  In that rich earth a richer dust concealed; A dust whom England bore, shaped, made aware,  Gave, once, her flowers to love, her ways to roam, A body of England's, breathing EnglishHand trembling towards hand; the amazing lights Of heart and eye. They stood on supreme heights.  Ah, the delirious weeks of honeymoon!  Soon they returned, and, after strange adventures, Settled at Balham by the end of June.  Their money was in Can. Pacs. B. Debentures, And in Antofagastas. Still he went",Love
"  I kiss the locks of your hair: Do you feel me there, Sleepy one?  I will put a kiss on your brow: Are you waking now? Won't you wake, sleepy one?  A kiss on your left eye; on your right— Closed tight, closed tight! Oh, you are a hard one to wake!  A kiss on your nose Where your deep breath goes, Sleepy one!  Now a kiss for each ear: Do you hear, do you hear? Wake, sleepy one!  A kiss for this cheek; a kiss for this: How many kisses you will miss! Won't you wake? Won't you wake?  Now I come to your lips that I love: Oh, you are waking! You wake and move! Sleepy one!  Sleepy one, My kisses are done. Oh, you are a hard one to wake!",Love
"I  Sinking down by the gate I discern the thin moon, And a blackbird tries over old airs in the pine, But the moon is a sorry one, sad the bird’s tune, For this spot is unknown to that Heartmate of mine.  II  Did my Heartmate but haunt here at times such as now, The song would be joyous and cheerful the moon; But she will see never this gate, path, or bough, Nor I find a joy in the scene or the tune. That night your great guns, unawares, Shook all our coffins as we lay, And broke the chancel window-squares, We thought it was the Judgement-day  And sat upright. While drearisome Arose the howl of wakened hounds: The mouse let fall the altar-crumb, The worm drew back into the mounds,  The glebe cow drooled.When the Present has latched its postern behind my tremulous stay,  And the May month flaps its glad green leaves like wings, Delicate-filmed as new-spun silk, will the neighbours say,  ""He was a man who used to notice such things""?   If it be in the dusk when, like an eyelid's soundless blink,  TheI do not love thee!—no! I do not love thee! And yet when thou art absent I am sad;  And envy even the bright blue sky above thee, Whose quiet stars may see thee and be glad.  I do not love thee!—yet, I know not why, Whate’er thou dost seems still well done, to me:  And often in myWhoever you are holding me now in hand,  Without one thing all will be useless,  I give you fair warning before you attempt me further,  I am not what you supposed, but far different.    Who is he that would become my follower?  Who would sign himself a candidate for my affectionsI am not yours, not lost in you, Not lost, although I long to be Lost as a candle lit at noon, Lost as a snowflake in the sea.  You love me, and I find you still A spirit beautiful and bright, Yet I am I, who long to be Lost as a light is lost in light.  Oh plunge me deep in love—put out My",Love
"I give the undertakers permission to haul my body  to the graveyard and to lay away all, the head, the  feet, the hands, all: I know there is something left  over they can not put away.    Let the nanny goats and the billy goats of the shanty people eat the clover over my grave and if any yellow  hair or  1  The woman named Tomorrow  sits with a hairpin in her teeth  and takes her time  and does her hair the way she wants it  and fastens at last the last braid and coil  and puts the hairpin where it belongs  and turns and drawls: Well, what of it?  My grandmother,When you are old and grey and full of sleep, And nodding by the fire, take down this book, And slowly read, and dream of the soft look Your eyes had once, and of their shadows deep;  How many loved your moments of glad grace, And loved your beauty with love false or true, But one man lovedParked in the fields  All night  So many years ago,  We saw  A lake beside us  When the moon rose.  I remember   Leaving that ancient car  Together. I remember  Standing in the white grass  Beside it. We groped  Our way together  Downhill in the bright  Incredible light   Beginning to wonder",Love
"I sing the will to love: the will that carves the will to live, the will that saps the will to hurt, the will that kills the will to die; the will that made and keeps you warm, the will that points your eyes ahead, the will that makes you give, not get, a give and get that tell us what you are: how much a god, how much a human. I call on you to live the will to love. There has been Another death. This time I bring it to you. You are kind, Brutal, You know How to lower  Bodies. I ask only That the rope Isn't silk, (Silk doesn't break) Nor thread, (Thread does.) If it lifts And lowers Common things, It will do.if the body is just a parable  about the body if breath  is a leash to hold the mind  then staying alive should be  easier than it is most sick  things become dead things  at twenty-four my liver was already covered in fatty rot my mother filled a tiny coffin with picture frames  I spent theI  She knew how to seduce her destiny, predict the time of flight In 1939, dressed in garments of night and happiness at the threshold of a fearful Hamburg Harbor resolved to live, she sailed  to Southern seas.  In 1938, the windows of her house of water and stone resisted the extreme horrorI am less of myself and more of the sun; The beat of life is wearing me To an incomplete oblivion, Yet not to the certain dignity Of death.    The hungry jaws Of space snap at my unlearned eye, And time tears in my",Love
"Wine comes in at the mouth  And love comes in at the eye;  That’s all we shall know for truth  Before we grow old and die.  I lift the glass to my mouth, I look at you, and I sigh.I have met them at close of day Coming with vivid faces From counter or desk among grey Eighteenth-century houses. I have passed with a nod of the head Or polite meaningless words, Or have lingered awhile and said Polite meaningless words, And thought before I had done Of a mocking tale or a gibe To please aI went out to the hazel wood,  Because a fire was in my head,  And cut and peeled a hazel wand,  And hooked a berry to a thread;  And when white moths were on the wing, And moth-like stars were flickering out,  I dropped the berry in a stream  And caught a little silver trout.    When I had laid",Love
"Give me hunger, O you gods that sit and give The world its orders. Give me hunger, pain and want, Shut me out with shame and failure From your doors of gold and fame, Give me your shabbiest, weariest hunger!  But leave me a little love, A voice to speak to me in the day end, A hand to touch me in the dark room Breaking the long loneliness. In the dusk of day-shapes Blurring the sunset, One little wandering, western star Thrust out from the changing shores of shadow. Let me go to the window, Watch there the day-shapes of dusk And wait and know the coming Of a little love. I spot the hills  With yellow balls in autumn.  I light the prairie cornfields  Orange and tawny gold clusters  And I am called pumpkins.  On the last of October  When dusk is fallen  Children join hands  And circle round me  Singing ghost songs  And love to the harvest moon;  I am a jack-o'-lantern  WithIt tastes like your first kiss,  but you have to let it ripen until you almost think it's too late, the beautiful bright body spoiled. That's when it's best, that's when you open up the flesh, that's when you want to  lay it on your tongue and savor it, not really like your first kiss but My hero bares his nerves along my wrist That rules from wrist to shoulder, Unpacks the head that, like a sleepy ghost, Leans on my mortal ruler, The proud spine spurning turn and twist.  And these poor nerves so wired to the skull Ache on the lovelornWhat was it I was hungry about. Hunger, it is one  Of the several contraptions I can turn on the off-button to at will.   Yes, yes, of course it is an ""Art."" Of course I will not be here  Long, not the way the percentages are going now.   He might have been",Love
"  We walked through garden closes Languidly, with dragging Sunday feet, And passed down a long pleached alley, And could remember, as one remembers in a fairy tale, Ladies in brocade, and lovers, and musk. We surprised tall dahlias That shrugged and turned scarlet faces to the breeze.It is the time of rain and snow I spend sleepless nights And watch the frost Frail as your love Gathers in the dawn.As the falling rain trickles among the stones memories come bubbling out. It's as if the rain had pierced my temples. Streaming streaming chaotically come memories: the reedy voice of the servant telling me tales of ghosts. They sat beside me the ghosts and the bed creaked that purple-dark",Love
"My heart is what it was before,  A house where people come and go; But it is winter with your love,  The sashes are beset with snow.  I light the lamp and lay the cloth,  I blow the coals to blaze again; But it is winter with your love,  The frost is thick upon the pane.  I know a winter when it comes",Love
"Spawn of fantasies Sitting the appraisable Pig Cupid his rosy snout Rooting erotic garbage “Once upon a time” Pulls a weed white star-topped Among wild oats sown in mucous membrane I would an eye in a Bengal light Eternity in a sky-rocket Constellations in an ocean Whose rivers run no fresher Than a trickle of saliva   There are suspect places   I must live in my lantern Trimming subliminal flicker Virginal to the bellows Of experience  Colored glass. Baby Priests On green sward Yew-closed Silk beaver Rhythm of redemption  Fluttering of Breviaries   Fluted black silk cloaks Hung square from shoulders Troncated juvenility Uniform segration  Union in severity Modulation Intimidation Pride of misapprehended preparation Ebony statuesFace of the skies preside over our wonder.  Fluorescent truant of heaven draw us under.  Silver, circular corpse your decease infects us with unendurable ease,  touching nerve-terminals to thermal icicles  Coercive as coma, frail as bloom innuendoes of your inverse dawn suffuse the self; our every corpuscle           Flame-flower, Day-torch, Mauna Loa, I saw a daring bee, today, pause, and soar, Into your flaming heart; Then did I hear crisp crinkled laughter As the furies after tore him apart? A bird, next, small and humming, Looked into your startled depths and fled...Hold your soul open for my welcoming. Let the quiet of your spirit bathe me With its clear and rippled coolness, That, loose-limbed and weary, I find rest, Outstretched upon your peace, as on a bed of ivory.  Let the flickering flame of your soul play all about me, That into my limbs may come",Love
"It rained three autumn days; then close to frost Under clear starlight the night shivering was. The dawn rose cold and colorless as glass, And when we wakened rains and clouds were lost. The ocean surged and shouted stormy-tossed. I went down to companion him. Alas, What faint voice by the way? The sudden grassThe extraordinary patience of things!  This beautiful place defaced with a crop of suburban houses— How beautiful when we first beheld it, Unbroken field of poppy and lupin walled with clean cliffs; No intrusion but two or three horses pasturing, Or a few milch cows rubbing their flanks on the outcrop rockheads",Love
" I In the evening, love returns,  Like a wand’rer ’cross the sea; In the evening, love returns  With a violet for me; In the evening, life’s a song,  And the fields are full of green; All the stars are golden crowns,  And the eye of God is keen.   II In the evening, sorrow dies  With the setting of the sun; In the evening, joy begins,  When the course of mirth is done; In the evening, kisses sweet  Droop upon the passion vine; In the evening comes your voice:  “I am yours, and you are mine.”  I mastered pastoral theology, the Greek of the Apostles, and all the difficult subjects in a minister’s curriculum.  I was as learned as any in this country when the Bishop ordained me.  And I went to preside over Mount Moriah, largest flock in the Conference.  I preached the",Love
"    Looking up into his own and reflecting the joy of his dream,  Yet did he seem   I have no vision of gods, not of Eros with love-arrows laden, Jupiter thundering death or of Juno his white-breasted queen,  Yet I have seen All of the joy of the world in the innocent heart of a maiden. Many laughing ladies, leisurely and wise, Low rich voice, delicate gay cries, Tea in fragile china cups, ices, macaroons, Sheraton and Heppelwhite and old thin spoons, Rather dim paintings on very high walls, Windows showing lawns whereon the sunlight falls, Pink and silver gardens and broad kind trees,Led by a star, a golden star, The youngest star, an olden star, Here the kings and the shepherds are, Akneeling on the ground. What did they come to the inn to see? God in the Highest, and this is He, A baby asleep on His mother’s knee And with her kisses crowned.  Now is the earth a dreary place, A troubled  Because the road was steep and long  And through a dark and lonely land, God set upon my lips a song  And put a lantern in my hand.  Through miles on weary miles of night  That stretch relentless in my way My lantern burns serene and white,  An unexhausted cup of day.  O golden",Love
"I hear an army charging upon the land,    And the thunder of horses plunging, foam about their knees:  Arrogant, in black armour, behind them stand,    Disdaining the reins, with fluttering whips, the charioteers.    They cry unto the night their battle-name:    I moan in sleep when I hear afar their whirling laughter.  They cleave the gloom of dreams, a blinding flame,    Clanging, clanging upon the heart as upon an anvil.    They come shaking in triumph their long, green hair:    They come out of the sea and run shouting by the shore.  My heart, have you no wisdom thus to despair?    My love, my love, my love, why have you left me alone?Of the dark past A child is born; With joy and grief My heart is torn.  Calm in his cradle The living lies. May love and mercy Unclose his eyes!  Young life is breathed On the glass; The world that was not Comes to pass.  A child is sleeping: An old man gone. O, father forsaken, Forgive your son! ",Love
"  Because the road was steep and long  And through a dark and lonely land, God set upon my lips a song  And put a lantern in my hand.  Through miles on weary miles of night  That stretch relentless in my way My lantern burns serene and white,  An unexhausted cup of day.  O golden lights and lights like wine,  How dim your boasted splendors are. Behold this little lamp of mind:  It is more starlike than a star!     Looking up into his own and reflecting the joy of his dream,  Yet did he seem   I (For Alden March)  With dropping sail and pennant  That never a wind may reach, They float in sunless waters  Beside a sunless beach. Their mighty masts and funnels  Are white as driven snow, And with a pallid radiance  Their ghostly bulwarks glow.  Here is a Spanish galleon  That onceIn a wood they call the Rouge Bouquet There is a new-made grave to-day, Build by never a spade nor pick Yet covered with earth ten metres thick. There lie many fighting men,  Dead in their youthful prime, Never to laugh nor love again  Nor taste the Summertime. For Death came flying through the air And",Love
"Hold your soul open for my welcoming. Let the quiet of your spirit bathe me With its clear and rippled coolness, That, loose-limbed and weary, I find rest, Outstretched upon your peace, as on a bed of ivory.  Let the flickering flame of your soul play all about me, That into my limbs may come the keenness of fire, The life and joy of tongues of flame, And, going out from you, tightly strung and in tune, I may rouse the blear-eyed world, And pour into it the beauty which you have begotten.  They have watered the street, It shines in the glare of lamps,  Cold, white lamps,  And lies Like a slow-moving river, Barred with silver and black. Cabs go down it, One, And then another, Between them I hear the shuffling of feet. Tramps doze on the window-Only that it should be beautiful,  Only that it should be beautiful,   O, beautiful  Red green blue—the wet lips Laughing  Or the curl of the white shell  And the beauty of women, the perfect tendons Under the skin, the perfect life  That can twist in a flood Of desire  Not truth but eachDespair is still servant to the violet and wild ongoings of bone. You, remember, are  that which must be made  servant only to salt, only  to the watery acre that is the body of the beloved, only to the child leaning forward into  the exhibit of birches  the forest has made of bronze lightI have wanted other things more than lovers … I have desired peace, intimately to know The secret curves of deep-bosomed contentment, To learn by heart things beautiful and slow.   Cities at night, and cloudful skies, I’ve wanted; And open cottage doors, old colors and smells a part; All",Love
"Night is over the park, and a few brave stars  Look on the lights that link it with chains of gold, The lake bears up their reflection in broken bars  That seem to heavy for tremulous water to hold.  We watch the swans that sleep in a shadowy place,  And now and again one wakes and uplifts its head; How still you are—your gaze is on my face—  We watch the swans and never a word is said. ",Love
"I love too much; I am a river  Surging with spring that seeks the sea, I am too generous a giver,  Love will not stoop to drink of me.  His feet will turn to desert places  Shadowless, reft of rain and dew, Where stars stare down with sharpened faces  From heavens pitilessly blue.  And there at midnight sick with faring  He will stoop down in his desire To slake the thirst grown past all bearing  In stagnant water keen as fire. There will come soft rains and the smell of the ground,  And swallows circling with their shimmering sound;  And frogs in the pools singing at night, And wild plum trees in tremulous white,  Robins will wear their feathery fire Whistling their whims on a low fence-wire;  And notWhat can I give you, my lord, my lover, You who have given the world to me, Showed me the light and the joy that cover The wild sweet earth and restless sea?  All that I have are gifts of your giving— If I gave them again, you would find them old, And your soul would weary of always living Before the mirror my",Love
" In the greenest of our valleys  By good angels tenanted,  Once a fair and stately palace—  Radiant palace—reared its head.  In the monarch Thought’s dominion—  It stood there!  Never seraph spread a pinion  Over fabric half so fair. Gaily bedight,  A gallant knight,  In sunshine and in shadow,  Had journeyed long,  Singing a song,  In search of Eldorado.   But he grew old—  This knight so bold—  And o’er his heart a shadow  Fell, as he found  NoThere are some qualities—some incorporate things,    That have a double life, which thus is made A type of that twin entity which springs    From matter and light, evinced in solid and shade. There is a two-fold —sea and shore—    Body and soul. One dwells in lonely places,    Newly with grass o'",Love
"Distraction is the panacea, Sir! I hear my oracle of Medicine say. Doctor! that same specific yesterday I tried, and the result will not deter A second trial. Is the devil’s line Of golden hair, or raven black, composed? And does a cheek, like any sea-shell rosed, Or clear as widowed sky, seem most divine? NoIf ever two were one, then surely we. If ever man were loved by wife, then thee; If ever wife was happy in a man, Compare with me ye women if you can. I prize thy love more than whole mines of gold, Or all the riches that the East doth hold. My love is such that rivers cannot quench, Nor",Love
"In a churchyard old and still,  Where the breeze-touched branches thrill   To and fro,  Giant oak trees blend their shade  O'er a sunken grave-mound, made   Long ago.   No stone, crumbling at its head,  Bears the mossed name of the dead   Graven deep;  But a myriad blossoms' grace  Clothes with trembling light the place   Of his sleep.   Was a young man in his strength  Laid beneath this low mound's length,   Heeding naught?  Did a maiden's parents wail  As they saw her, pulseless, pale,   Hither brought?   Was it else one full of days,  Who had traveled darksome ways,   And was tired,  Who looked forth unto the end,  And saw Death come as a friend   Long desired?  Who it was that rests below  Not earth's wisest now may know,   Or can tell;  But these blossoms witness bear  They who laid the sleeper there   Loved him well.   In the dust that closed him o'er  Planted they the garden store   Deemed most sweet,  Till the fragrant gleam, outspread,  Swept in beauty from his head   To his feet.   Still, in early springtime's glow,  Guelder-roses cast their snow   O'er his rest;  Still sweet-williams breathe perfume  Where the peonies' crimson bloom   Drapes his breast.   Passing stranger, pity not  Him who lies here, all forgot,   'Neath this earth;  Some one loved him—more can fall  To no mortal. Love is all   Life is worth. ""I have no time for those things now,"" we say; ""But in the future just a little way, No longer by this ceaseless toil oppressed, I shall have leisure then for thought and rest. When I the debts upon my land have paid, Or on foundations firm my business laid, I shall take time for discourse long and sweet Withthey thought the field was wasting and so they gathered the marker rocks and stones and piled them into a barn they say that the rocks were shaped some of them scratched with triangles and other forms they must have been trying to invent some new language they say the rocks went to buildWhat was there is no longer there:  A man can’t die where there is no earth   because there will be no place to bury him. His body is the sky and understands the language of birds.   His body says the earth is made of everything that has fallen from Heaven   while no one was looking. He promises to defy gravity and then return",Love
"This golden head has wit in it. I live Again, and a far higher life, near her. Some women like a young philosopher; Perchance because he is diminutive. For woman’s manly god must not exceed Proportions of the natural nursing size. Great poets and great sages draw no prize With women: but the little lap-dog breedMadam would speak with me. So, now it comes: The Deluge or else Fire! She’s well; she thanks My husbandship. Our chain on silence clanks. Time leers between, above his twiddling thumbs. Am I quite well? Most excellent in health! The journals, too, I diligently peruse. Vesuvius is expected to give news: Niagara isWe were the family there on his bed the five of us touching his arms, his chest, cradling his head.  For children bending to him, to ease his departure, bless his mysterious  journey— then I alone uncovering the bony legs, preparing him for rest.  Now I, in the limbo of our fashioned earth,Raven was in a deep sleep, dreaming the world. He saw things and they happened, He dreamed things and they came to life. He hardly knew  where to begin or what to do   once the world was. At last He understood  Fodder's dilemma. It troubled Him,  made Him restless, disturbed His sleep.  Then",Love
